"Date","Area","OSgrid","longitude","latitude","Alt","Aspect","Incline","Location","Obs","FAH","OAH","Air.Temp","Wind.Dir","Wind.Speed","Cloud","Precip.Code","Drift","Total.Snow.Depth","Foot.Pen","Ski.Pen","Rain.at.900","Summit.Air.Temp","Summit.Wind.Dir","Summit.Wind.Speed","Max.Temp.Grad","Max.Hardness.Grad","No.Settle","Snow.Index","Insolation","Crystals","Wetness","AV.Cat","Snow.Temp"
2009-12-17 12:30:00,"Creag Meagaidh","NN460901",-0.39189816138468,2.22330931290461,"800",160,28,"Cairn Liath","WS","Moderate","Moderate","-3.2",45,10,90,"2 - Trace","1",45,0,NA,0,NA,NA,NA,20,4,NA,NA,NA,NA,NA,NA,NA
2009-12-18 13:15:00,"Creag Meagaidh","NN442895",-0.397317043264217,2.20705087730541,"890",100,32,"Lifa Gully, Coire Chriochairein","TR","Considerable -","Considerable +","-2.5",340,30,100,"4 - Light Showers","1",40,10,NA,0,NA,NA,NA,8,2,NA,NA,NA,NA,NA,NA,NA
2009-12-19 13:15:00,"Creag Meagaidh","NN448897",-0.395510783019325,2.21247037404101,"",NA,NA,"Wall gully,Coire Chreiochairein","TR","Considerable +","High","-5",NA,35,100,"8 - Snow","1",65,33,NA,0,NA,NA,NA,18,2,NA,NA,NA,NA,NA,NA,NA
2009-12-20 12:50:00,"Creag Meagaidh","NN463900",-0.392791806913748,2.22602223436141,"890",130,39,"Balloon Gully","TR","Considerable +","Considerable +","-2",270,25,60,"6 - Snow Showers","1",75,50,NA,0,NA,NA,NA,5,2,NA,NA,NA,NA,NA,NA,NA
2009-12-21 13:05:00,"Creag Meagaidh","NN452899",-0.393707653111883,2.21608230132937,"900",100,33,"Min Window","TR & OR","Considerable -","Considerable -","-2.6",NA,5,90,"0 - None","1",80,70,25,0,NA,NA,NA,10,2,NA,NA,NA,NA,NA,NA,NA
2009-12-22 12:40:00,"Creag Meagaidh","NN460883",-0.408069634903086,2.2233379721022,"730",155,31,"Sron a Ghoire","TR & JR","Considerable -","Considerable -","-7.8",NA,0,0,"0 - None","0",64,42,30,0,NA,NA,NA,43,2,NA,NA,NA,NA,NA,NA,NA
2009-12-23 13:05:00,"Creag Meagaidh","NN459882",-0.408969633169815,2.22243577251405,"700",150,35,"Bumslide Gully, Sron aGhoire","TR & JR","Considerable -","Considerable +","-0.5",NA,3,100,"2 - Trace","1",60,50,20,0,NA,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA
2009-12-24 13:15:00,"Creag Meagaidh","NN461877",-0.413458597568364,2.22425127543076,"800",130,25,"Sron a Ghoire","WS + AS","High","Considerable -","-3",NA,NA,10,"","0",52,50,NA,0,NA,NA,NA,18,3,NA,NA,NA,NA,NA,NA,NA
2009-12-25 14:00:00,"Creag Meagaidh","NN446892",-0.400005966984999,2.21067074240642,"600",190,20,"Coire a Chriochairein","WS /FS","Considerable -","Considerable -","-1",45,5,2,"4 - Light Showers","1",41,40,NA,0,NA,NA,NA,34,3,NA,NA,NA,NA,NA,NA,NA
2009-12-26 13:45:00,"Creag Meagaidh","NN460883",-0.408069634903086,2.2233379721022,"600",120,28,"Sron A Ghoire","WS /AS","Considerable -","Moderate","-2",45,2,20,"0 - None","0",42,30,NA,0,NA,NA,NA,17,3,NA,NA,NA,NA,NA,NA,NA
2009-12-27 13:15:00,"Creag Meagaidh","NN441870",-0.419778890362634,2.20618646636226,"950",170,25,"Creag Mhor Ridge","WS /FS","Considerable +","Moderate","-2.3",45,10,90,"2 - Trace","1",80,35,NA,0,NA,NA,NA,12,3,NA,NA,NA,NA,NA,NA,NA
2009-12-28 13:30:00,"Creag Meagaidh","NN486901",-0.391856664191738,2.24680743900848,"600",130,30,"Coire nan Gall","WS","Considerable +","Moderate","-2.4",NA,NA,20,"0 - None","0",45,30,NA,0,NA,NA,NA,32,4,NA,NA,NA,NA,NA,NA,NA
2009-12-29 13:30:00,"Creag Meagaidh","NN445897",-0.39551551321331,2.20975904303277,"860",170,33,"Back wall. Coire Chriochairein","TR","Considerable +","High","-5",360,10,100,"2 - Trace","1",75,28,20,0,NA,NA,NA,13,2,NA,NA,NA,NA,NA,NA,NA
2009-12-30 12:45:00,"Creag Meagaidh","NN448860",-0.428752224736258,2.21252872424855,"700",218,30,"Creag Mhor Ridge","TR","High","High","-2",90,35,100,"4 - Light Showers","1",76,50,25,0,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA
2009-12-31 14:00:00,"Creag Meagaidh","NN463897",-0.395487044829155,2.22602702743673,"700",200,34,"Below Min indow","WS / AS","High","High","-2.5",20,10,70,"4 - Light Showers","1",54,45,NA,0,NA,NA,NA,32,2,NA,NA,NA,NA,NA,NA,NA
2010-01-01 13:30:00,"Creag Meagaidh","NN474888",-0.403555347224128,2.2359829852213,"600",180,32,"Na Cnapanan","WS / TR","High","High","-1",45,20,100,"6 - Snow Showers","1",45,40,NA,0,NA,NA,NA,10,2,NA,NA,NA,NA,NA,NA,NA
2010-01-02 14:10:00,"Creag Meagaidh","NN445898",-0.394617109721387,2.20975745757351,"985",220,30,"Coire a Chriochairein","WS /FS","High","Considerable +","-6",150,5,2,"","1",71,20,NA,0,NA,NA,NA,16,2,NA,NA,NA,NA,NA,NA,NA
2010-01-03 13:45:00,"Creag Meagaidh","NN444895",-0.397313896490436,2.20885843399087,"800",110,37,"lifa Gully, Coire Chriochairein","TR","High","Considerable +","-2.4",360,10,90,"2 - Trace","0",70,40,25,0,NA,NA,NA,15,2,NA,NA,NA,NA,NA,NA,NA
2010-01-04 13:30:00,"Creag Meagaidh","NN472898",-0.394574313928628,2.23415941516877,"860",135,34,"Carn Liath","TR","High","High","-4",360,10,100,"2 - Trace","0",87,23,15,0,NA,NA,NA,20,2,NA,NA,NA,NA,NA,NA,NA
2010-01-05 13:45:00,"Creag Meagaidh","NN468897",-0.395479099794557,2.23054591129061,"850",190,30,"Cairn Liath","WS /AS","High","Considerable +","-3.4",15,35,100,"8 - Snow","1",105,34,NA,0,NA,NA,NA,9,3,NA,NA,NA,NA,NA,NA,NA
2010-01-06 13:30:00,"Creag Meagaidh","NN476887",-0.404450593664851,2.23779215025118,"600",180,30,"Na Cnapanan","TR","Considerable -","Considerable -","-2",NA,5,0,"0 - None","0",75,50,25,0,NA,NA,NA,13,1,NA,NA,NA,NA,NA,NA,NA
2010-01-07 14:00:00,"Creag Meagaidh","NN471899",-0.393677490346077,2.23325403623452,"860",150,27,"Cairn Liath South Slopes","WS /AS","","Considerable -","-4",25,5,10,"0 - None","0",70,30,NA,0,NA,NA,NA,10,2,NA,NA,NA,NA,NA,NA,NA
2010-01-08 14:00:00,"Creag Meagaidh","NN445895",-0.397312322135122,2.20976221231539,"790",115,31,"Coire Chriochairein","TR","Considerable -","Considerable -","-4.5",NA,10,0,"0 - None","1",70,30,25,0,NA,NA,NA,15,2,NA,NA,NA,NA,NA,NA,NA
2010-01-09 13:00:00,"Creag Meagaidh","NN470895",-0.397272753421442,2.23235666646568,"800",194,31,"Carn Liath","TR","Considerable -","Moderate","-2.5",90,10,95,"4 - Light Showers","1",70,30,10,0,NA,NA,NA,11,3,NA,NA,NA,NA,NA,NA,NA
2010-01-10 14:15:00,"Creag Meagaidh","NN461901",-0.391896573426273,2.22421308713899,"920",290,28,"Cairn Liath Sharks Gultch","WS /AS","Considerable +","Considerable -","-5.6",45,20,5,"","1",100,20,NA,0,NA,NA,NA,22,3,NA,NA,NA,NA,NA,NA,NA
2010-01-11 13:15:00,"Creag Meagaidh","NN472888",-0.403558525060482,2.23417542020049,"600",270,39,"Na Cnapanan","WS/AS","Considerable -","Considerable -","-0.6",90,20,90,"2 - Trace","1",77,37,NA,0,NA,NA,NA,6,2,NA,NA,NA,NA,NA,NA,NA
2010-01-12 12:45:00,"Creag Meagaidh","NN451893",-0.399099680462187,2.21518805688788,"600",200,24,"Boundary Wall , Coire a Chriochairein","WS /FS","Considerable -","Considerable +","-0.1",120,30,100,"4 - Light Showers","1",110,30,NA,0,NA,NA,NA,7,3,NA,NA,NA,NA,NA,NA,NA
2010-01-13 13:00:00,"Creag Meagaidh","NN476887",-0.404450593664851,2.23779215025118,"600",260,32,"Na Cnapanan","TR","Considerable -","Considerable -","-2",150,30,100,"4 - Light Showers","1",80,30,15,0,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA
2010-01-14 13:40:00,"Creag Meagaidh","NN456883",-0.408075941030393,2.21972282839781,"800",300,35,"Sron a Ghoire","WS /FS","High","High","-1.2",150,5,100,"4 - Light Showers","1",170,35,NA,0,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA
2010-01-15 13:30:00,"Creag Meagaidh","NN432885",-0.406316751426432,2.19802882268582,"780",360,37,"Wee Gutter, Inner Coire of Coire Ardair","TR","High","Considerable -","1.7",180,30,100,"4 - Light Showers","1",80,40,20,1,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA
2010-01-16 13:30:00,"Creag Meagaidh","NN462898",-0.394590219158853,2.22512165413581,"830",220,32,"Balloon Gully","TR","Considerable -","Moderate","2",190,25,100,"2 - Trace","0",87,32,7,1,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA
2010-01-17 13:30:00,"Creag Meagaidh","NN462882",-0.408964900388577,2.22514713213791,"600",100,30,"Sron a Ghoire","WS /FS","Considerable +","Moderate","2",180,5,90,"","0",29,20,NA,1,NA,NA,NA,0,3,NA,NA,NA,NA,NA,NA,NA
2010-01-18 12:45:00,"Creag Meagaidh","NN464895",-0.397282286714566,2.22693399816647,"600",130,30,"Balloon Gully","WS","Moderate","Moderate","3.5",300,20,80,"2 - Trace","1",40,30,NA,0,NA,NA,NA,0,2,NA,NA,NA,NA,NA,NA,NA
2010-01-19 12:30:00,"Creag Meagaidh","NN475893",-0.399061635482527,2.23687876237628,"600",280,30,"Na Cnapanan","WS","Moderate","Moderate","0.2",165,20,80,"0 - None","1",NA,2,NA,0,NA,NA,NA,0,2,NA,NA,NA,NA,NA,NA,NA
2010-01-20 13:00:00,"Creag Meagaidh","NN459871",-0.418852304017603,2.22245318583185,"600",100,35,"Creag Bheag, Sron a Ghoire","WS","Moderate","Moderate","0.2",165,30,100,"2 - Trace","1",30,2,NA,0,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA
2010-01-21 13:25:00,"Creag Meagaidh","NN455882",-0.40897593454623,2.21882062617796,"840",350,33,"NE gullies , Sron a Ghoire","TR","Considerable +","Considerable -","-1.9",145,35,100,"4 - Light Showers","1",74,20,NA,0,NA,NA,NA,6,1,NA,NA,NA,NA,NA,NA,NA
2010-01-22 13:45:00,"Creag Meagaidh","NN446875",-0.415278988938606,2.21069757641067,"970",360,36,"Top of headwall. Corrie Gamhna","TR","Considerable -","Considerable -","0",165,5,90,"2 - Trace","0",80,22,9,0,NA,NA,NA,6,3,NA,NA,NA,NA,NA,NA,NA
2010-01-23 13:35:00,"Creag Meagaidh","NN463902",-0.390994984870261,2.22601903623132,"930",320,31,"Uinneag Coire a Chaorainn","TR","Considerable -","Considerable -","-0.7",45,25,100,"4 - Light Showers","1",100,25,12,0,NA,NA,NA,14,2,NA,NA,NA,NA,NA,NA,NA
2010-01-24 13:00:00,"Creag Meagaidh","NN462899",-0.39369180706625,2.22512005709334,"870",220,41,"Balloon Gully, Coire Ardair","TR","Moderate","Moderate","-2",80,15,90,"4 - Light Showers","1",74,22,NA,0,NA,NA,NA,15,3,NA,NA,NA,NA,NA,NA,NA
